time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,7.387,0.124,0.0,0.0,1.249,0.0,0.0,0.931
2019-01-01 01:00,7.472,0.2,0.0,0.0,1.247,0.0,0.0,0.865
2019-01-01 02:00,7.635,0.196,0.0,0.0,1.244,0.0,0.0,0.701
2019-01-01 03:00,7.224,0.061,0.0,0.0,1.245,0.0,0.0,0.387
2019-01-01 04:00,6.147,0.018,0.0,0.0,1.25,0.0,0.0,0.128
2019-01-01 05:00,5.573,0.022,0.0,0.0,1.253,0.0,0.0,0.137
2019-01-01 06:00,5.521,0.022,0.0,0.0,1.253,0.0,0.0,0.329
2019-01-01 07:00,5.587,0.022,0.0,0.0,1.252,0.047,0.358,0.359
2019-01-01 08:00,5.754,0.02,0.0,0.0,1.251,16.719,74.416,0.287
2019-01-01 09:00,5.792,0.007,0.0,0.0,1.252,62.084,181.604,0.2
2019-01-01 10:00,5.764,0.003,0.0,0.0,1.252,115.512,245.244,0.105
2019-01-01 11:00,5.535,0.001,0.0,0.0,1.254,130.211,260.91,0.101
2019-01-01 12:00,5.209,0.001,0.0,0.0,1.255,110.73,227.687,0.122
2019-01-01 13:00,4.864,0.0,0.0,0.0,1.256,59.832,147.711,0.146
2019-01-01 14:00,4.457,0.0,0.0,0.0,1.258,9.359,33.553,0.395
2019-01-01 15:00,4.174,0.001,0.0,0.0,1.26,0.0,0.0,0.728
2019-01-01 16:00,4.153,0.003,0.0,0.0,1.26,0.0,0.0,0.817
2019-01-01 17:00,4.563,0.001,0.0,0.0,1.259,0.0,0.0,0.842
2019-01-01 18:00,5.082,0.0,0.0,0.0,1.258,0.0,0.0,0.707
2019-01-01 19:00,5.495,0.0,0.0,0.0,1.258,0.0,0.0,0.493
2019-01-01 20:00,5.208,0.0,0.0,0.0,1.261,0.0,0.0,0.101
2019-01-01 21:00,4.696,0.0,0.0,0.0,1.266,0.0,0.0,0.105
2019-01-01 22:00,4.334,0.002,0.0,0.0,1.269,0.0,0.0,0.162
2019-01-01 23:00,3.962,0.01,0.0,0.0,1.273,0.0,0.0,0.144
2019-01-02 00:00,3.606,0.011,0.0,0.0,1.276,0.0,0.0,0.137
2019-01-02 01:00,3.337,0.004,0.0,0.0,1.28,0.0,0.0,0.167
2019-01-02 02:00,3.089,0.002,0.0,0.0,1.282,0.0,0.0,0.124
2019-01-02 03:00,2.872,0.002,0.0,0.0,1.285,0.0,0.0,0.078
2019-01-02 04:00,2.726,0.0,0.0,0.0,1.287,0.0,0.0,0.074
2019-01-02 05:00,2.585,0.0,0.0,0.0,1.289,0.0,0.0,0.064
2019-01-02 06:00,2.344,0.0,0.0,0.0,1.292,0.0,0.0,0.048
2019-01-02 07:00,2.204,0.001,0.0,0.0,1.294,0.101,0.466,0.05
2019-01-02 08:00,2.261,0.001,0.0,0.0,1.295,33.199,76.254,0.037
2019-01-02 09:00,2.562,0.001,0.0,0.0,1.296,100.968,183.513,0.031
2019-01-02 10:00,2.98,0.001,0.0,0.0,1.296,148.214,247.198,0.027
2019-01-02 11:00,3.341,0.0,0.0,0.0,1.295,160.673,262.91,0.025
2019-01-02 12:00,3.416,0.0,0.0,0.0,1.295,135.417,229.653,0.02
2019-01-02 13:00,2.959,0.0,0.0,0.0,1.295,79.111,149.608,0.018
2019-01-02 14:00,1.759,0.0,0.0,0.0,1.298,13.778,34.854,0.023
2019-01-02 15:00,0.825,0.0,0.0,0.0,1.299,0.0,0.0,0.023
2019-01-02 16:00,0.294,0.0,0.0,0.0,1.301,0.0,0.0,0.021
2019-01-02 17:00,-0.141,0.0,0.0,0.0,1.302,0.0,0.0,0.016
2019-01-02 18:00,-0.39,0.0,0.0,0.0,1.302,0.0,0.0,0.011
2019-01-02 19:00,-0.488,0.0,0.0,0.0,1.303,0.0,0.0,0.008
2019-01-02 20:00,-0.562,0.0,0.0,0.0,1.304,0.0,0.0,0.006
2019-01-02 21:00,-0.681,0.0,0.0,0.0,1.305,0.0,0.0,0.004
2019-01-02 22:00,-0.787,0.0,0.0,0.0,1.306,0.0,0.0,0.003
2019-01-02 23:00,-0.846,0.0,0.0,0.0,1.307,0.0,0.0,0.002
2019-01-03 00:00,-0.873,0.0,0.0,0.0,1.308,0.0,0.0,0.002
2019-01-03 01:00,-0.905,0.0,0.0,0.0,1.308,0.0,0.0,0.001
2019-01-03 02:00,-0.918,0.0,0.0,0.0,1.309,0.0,0.0,0.001
2019-01-03 03:00,-0.946,0.0,0.0,0.0,1.309,0.0,0.0,0.002
2019-01-03 04:00,-0.979,0.0,0.0,0.0,1.31,0.0,0.0,0.002
2019-01-03 05:00,-0.991,0.0,0.0,0.0,1.311,0.0,0.0,0.003
2019-01-03 06:00,-1.029,0.0,0.0,0.0,1.312,0.0,0.0,0.213
2019-01-03 07:00,-0.952,0.0,0.0,0.0,1.312,0.153,0.618,0.935
2019-01-03 08:00,-0.383,0.0,0.0,0.0,1.313,28.686,78.254,0.952
2019-01-03 09:00,0.67,0.0,0.0,0.0,1.312,73.254,185.604,0.967
2019-01-03 10:00,1.452,0.0,0.0,0.0,1.309,102.212,249.323,0.983
2019-01-03 11:00,1.981,0.0,0.0,0.0,1.306,122.171,265.035,0.966
2019-01-03 12:00,2.079,0.0,0.0,0.0,1.304,112.581,231.778,0.936
2019-01-03 13:00,1.431,0.0,0.0,0.0,1.303,62.307,151.727,0.755
2019-01-03 14:00,0.42,0.0,0.0,0.0,1.303,13.125,36.307,0.331
2019-01-03 15:00,0.026,0.0,0.0,0.0,1.303,0.0,0.0,0.201
2019-01-03 16:00,0.058,0.0,0.0,0.0,1.303,0.0,0.0,0.734
2019-01-03 17:00,0.128,0.0,0.0,0.0,1.303,0.0,0.0,0.948
2019-01-03 18:00,0.602,0.0,0.0,0.0,1.303,0.0,0.0,0.952
2019-01-03 19:00,1.423,0.002,0.0,0.0,1.303,0.0,0.0,0.983
2019-01-03 20:00,2.038,0.006,0.0,0.0,1.301,0.0,0.0,0.98
2019-01-03 21:00,2.353,0.01,0.0,0.0,1.299,0.0,0.0,0.963
2019-01-03 22:00,2.54,0.011,0.0,0.0,1.297,0.0,0.0,0.959
2019-01-03 23:00,2.64,0.013,0.0,0.0,1.296,0.0,0.0,0.988
2019-01-04 00:00,2.714,0.01,0.0,0.0,1.295,0.0,0.0,0.973
2019-01-04 01:00,2.881,0.005,0.0,0.0,1.293,0.0,0.0,0.996
2019-01-04 02:00,3.067,0.003,0.0,0.0,1.291,0.0,0.0,0.996
2019-01-04 03:00,3.155,0.002,0.0,0.0,1.289,0.0,0.0,0.993
2019-01-04 04:00,3.019,0.001,0.0,0.0,1.288,0.0,0.0,0.993
2019-01-04 05:00,2.94,0.001,0.0,0.0,1.288,0.0,0.0,0.994
2019-01-04 06:00,2.924,0.0,0.0,0.0,1.288,0.0,0.0,0.995
2019-01-04 07:00,3.016,0.0,0.0,0.0,1.287,0.08,0.804,0.992
2019-01-04 08:00,3.173,0.001,0.0,0.0,1.286,16.001,80.436,0.973
2019-01-04 09:00,3.47,0.002,0.0,0.0,1.285,66.195,187.87,0.966
2019-01-04 10:00,3.811,0.003,0.0,0.0,1.283,97.735,251.642,0.953
2019-01-04 11:00,4.31,0.005,0.0,0.0,1.28,101.439,267.41,0.958
2019-01-04 12:00,4.892,0.006,0.0,0.0,1.276,80.339,234.102,0.972
2019-01-04 13:00,5.251,0.005,0.0,0.0,1.273,37.673,153.983,0.976
2019-01-04 14:00,5.462,0.004,0.0,0.0,1.27,6.855,37.914,0.972
2019-01-04 15:00,5.708,0.006,0.0,0.0,1.268,0.0,0.0,0.972
2019-01-04 16:00,5.936,0.008,0.0,0.0,1.266,0.0,0.0,0.978
2019-01-04 17:00,6.085,0.008,0.0,0.0,1.265,0.0,0.0,0.991
2019-01-04 18:00,6.151,0.001,0.0,0.0,1.264,0.0,0.0,0.99
2019-01-04 19:00,6.157,0.001,0.0,0.0,1.263,0.0,0.0,0.984
2019-01-04 20:00,6.05,0.001,0.0,0.0,1.263,0.0,0.0,0.977
2019-01-04 21:00,6.047,0.003,0.0,0.0,1.263,0.0,0.0,0.978
2019-01-04 22:00,6.156,0.011,0.0,0.0,1.262,0.0,0.0,0.978
2019-01-04 23:00,6.303,0.026,0.0,0.0,1.261,0.0,0.0,0.982
2019-01-05 00:00,6.356,0.012,0.0,0.0,1.26,0.0,0.0,0.98
2019-01-05 01:00,6.3,0.002,0.0,0.0,1.26,0.0,0.0,0.853
2019-01-05 02:00,6.066,0.002,0.0,0.0,1.261,0.0,0.0,0.418
